Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
4.50481,7.8611,0,0,0,0.0345181,-0.021718,0.00426859,-0.000277821,4.6845,0,0,0,-0.096284,0.0437616,-0.00712398,0.00040689,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.94806,7,-0.835957,-0.106277,0.014769,0.0652516,-0.0323623,0.00640685,-0.000474611,2,-0.592797,0.127237,-0.0146458,-0.0364093,0.0590619,-0.0210784,0.00230074,1,-2.39631e-17,-2.9643e-18,1.42969e-18,-5.55112e-17,5.55112e-17,-2.77556e-17,1.73472e-18,0,0,0,0,0,0,0,0
2.99499,5,-0.233342,0.174833,-3.32482e-05,-0.0304451,0.0100446,-0.00137411,7.04691e-05,2,0.760353,0.10856,-0.0297031,0.0663847,-0.0685203,0.0212977,-0.00215288,1,1.36574e-16,1.32187e-17,-2.58241e-18,-5.55112e-17,0,0,0,0,0,0,0,0,0,0,0
11.8898,5,-0.0484054,-0.0673317,-0.00362174,-0.00219946,0.000703703,-5.7397e-05,1.49101e-06,4,0.096223,-0.183956,-0.000204061,0.00493099,-0.00056681,2.48712e-05,-3.84736e-07,1,-1.24219e-16,-1.71616e-17,9.08497e-18,-2.1684e-19,-1.0842e-19,1.01644e-20,-2.11758e-22,0,0,0,0,0,0,0,0
